Dog Breed,Category,Symptom
吉娃娃,毛髮皮膚,斑狀毛色
吉娃娃,毛髮皮膚,犬型禿髮
吉娃娃,眼睛,玻璃體退化
吉娃娃,眼睛,持續性瞳孔膜
吉娃娃,眼睛,白內障
吉娃娃,眼睛,漸進性視網膜萎縮症
吉娃娃,眼睛,角膜營養不良
吉娃娃,骨骼及關節,髕骨異位
吉娃娃,骨骼及關節,髖關節發育不良和股骨頭缺血性壞死
吉娃娃,骨骼及關節,肘關節增生不良
吉娃娃,血液,肝門脈系統分流
吉娃娃,心臟,慢性瓣膜性心臟病／心臟瓣膜病變
吉娃娃,心臟,肺動脈狹窄症
吉娃娃,呼吸系統,氣管塌陷
吉娃娃,消化排泄系統,臍疝氣
吉娃娃,泌尿系統,泌尿系統結石
吉娃娃,內分泌系統,甲狀腺功能低下
吉娃娃,腦及神經,水腦症
吉娃娃,腦及神經,壞死性腦膜炎
吉娃娃,畸形,唇顎裂
吉娃娃,生殖系統,隱睪
吉娃娃,嘴及口腔,咬合不足
吉娃娃,嘴及口腔,咬合過度和歪嘴症
吉娃娃,肌肉,後天重症肌無力
約克夏,毛髮皮膚,過敏性皮炎
約克夏,毛髮皮膚,皮癬
約克夏,毛髮皮膚,皮膚漿液瘤
約克夏,眼睛,永久性瞳孔殘膜
約克夏,眼睛,乾眼症
約克夏,眼睛,白內障
約克夏,眼睛,漸進性視網膜萎縮症
約克夏,眼睛,多生睫毛
約克夏,眼睛,視網膜增生不良
約克夏,眼睛,角膜營養不良
約克夏,骨骼及關節,髕骨脫臼
約克夏,骨骼及關節,髖關節增生不良
約克夏,骨骼及關節,肘關節增生不良
約克夏,血液,肝門脈系統分流
約克夏,血液,低血糖症
約克夏,心臟,瓣膜性心臟病
約克夏,心臟,心室中膈缺陷
約克夏,呼吸系統,氣管塌陷
約克夏,消化排泄系統,蛋白質流失性腸病
約克夏,泌尿系統,泌尿道結石
約克夏,內分泌系統,糖尿病
約克夏,內分泌系統,腎上腺皮質功能亢進症（庫興氏症候群）
約克夏,內分泌系統,甲狀腺功能減退症
約克夏,腦及神經,壞死性腦膜腦炎
約克夏,生殖系統,隱睪
馬爾濟斯,眼睛,永久性瞳孔殘膜
馬爾濟斯,眼睛,多生睫毛
馬爾濟斯,眼睛,白內障
馬爾濟斯,眼睛,視網膜增生不良
馬爾濟斯,骨骼及關節,髖關節增生不良
馬爾濟斯,骨骼及關節,髕骨異位
馬爾濟斯,骨骼及關節,肘關節增生不良
馬爾濟斯,血液,肝門脈系統分流
馬爾濟斯,心臟,開放性動脈導管
馬爾濟斯,消化排泄系統,蛋白質流失性腸病
馬爾濟斯,消化排泄系統,肛門閉鎖症
馬爾濟斯,內分泌系統,甲狀腺功能減退症
馬爾濟斯,腦及神經,水腦症
馬爾濟斯,腦及神經,壞死性腦膜腦炎／巴哥犬腦炎
馬爾濟斯,腦及神經,白狗搖擺症候群
馬爾濟斯,腫瘤及癌症,脾臟腫瘤
馬爾濟斯,腫瘤及癌症,胃腸道肥大細胞腫瘤
馬爾濟斯,腫瘤及癌症,睾丸腫瘤
馬爾濟斯,耳朵,耳聾
馬爾濟斯,免疫系統,自身免疫性溶血性貧血
蝴蝶犬,眼睛,漸進性視網膜萎縮症
蝴蝶犬,眼睛,玻璃體退化
蝴蝶犬,眼睛,永久性瞳孔殘膜
蝴蝶犬,眼睛,白內障
蝴蝶犬,眼睛,多生睫毛
蝴蝶犬,骨骼及關節,髕骨脫臼
蝴蝶犬,骨骼及關節,髖關節增生不良
蝴蝶犬,骨骼及關節,肘關節增生不良
蝴蝶犬,血液,類血友病/溫韋伯氏疾病
蝴蝶犬,血液,肝門脈系統分流
蝴蝶犬,內分泌系統,甲狀腺功能低下
蝴蝶犬,腦及神經,神經軸突營養不良症
蝴蝶犬,腦及神經,癲癇
蝴蝶犬,腦及神經,水腦症
蝴蝶犬,脊椎脊髓及神經,椎間盤疾病
蝴蝶犬,畸形,囟門未閉合
蝴蝶犬,畸形,唇顎裂
蝴蝶犬,生殖系統,隱睪症
蝴蝶犬,耳朵,耳聾
博美犬,毛髮皮膚,X脫毛症
博美犬,眼睛,多生睫毛
博美犬,眼睛,持久性瞳孔殘膜
博美犬,眼睛,白內障
博美犬,眼睛,玻璃體退化
博美犬,眼睛,漸進性視網膜萎縮症
博美犬,骨骼及關節,髕骨異位
博美犬,骨骼及關節,肘關節發育不良
博美犬,心臟,開放性動脈導管
博美犬,心臟,慢性瓣膜性心臟病
博美犬,呼吸系統,氣管坍塌
